Prey,Classification,Class,Order (Suborder),Family,Genus,Species,Successful Predation,Predator Size,DOI,Observer,Location,State,Biogeogrphic zone,Latitude,Longitude,Source,Notes,Link
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,-,U,Unknown,Assam,AS,North-East,27.48,95,Literature,Squamatabase,
Duttaphrynus stomaticus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,stomaticus,Y,-,U,Wall 1921,"Faizabad, UP",UP,Gangetic plain,26.77,82.150002,Literature,,
Euphlyctis cyanophlyctis,Anura,Amphibia,Anura,Dicroglossidae,Euphlyctis,cyanophlyctis,Y,-,U,Unknown,Rajasthan,RJ,Semi-arid,26.59271369,73.83425139,Literature,Squamatabase,
Eutropis carinata,Sauria,Reptilia,Squamata (Autarchoglossa),Scincidae,Eutropis,carinata,Y,-,U,Unknown,Assam,AS,North-East,27.48,95,Literature,Squamatabase,
Eutropis dissimilis,Sauria,Reptilia,Squamata (Autarchoglossa),Scincidae,Eutropis,dissimilis,Y,-,U,Wall 1921,"Faizabad, UP",UP,Gangetic plain,26.77,82.150002,Literature,,
Eutropis dissimilis,Sauria,Reptilia,Squamata (Autarchoglossa),Scincidae,Eutropis,dissimilis,Y,-,U,Unknown,Pakistan,-,-,,,Literature,Squamatabase,
Eutropis sp.,Sauria,Reptilia,Squamata (Autarchoglossa),Scincidae,Eutropis,-,Y,M,HF,Ajay Giri,"Agumbe, KA",KA,Western Ghats,13.5027,75.0903,Facebook,,https://www.facebook.com/photo?fbid=691501721012130&set=bc.AboCEoqY1jjfqa92gRUTug3G0rI7mzVAefKe1S9-EOi0VRq2OOPpCPi2cyngkZGPp3LJ34sZtnuvsqFckuFN0QLK8KDBdyV2Zg7G-7U1aYvbVKtT28oXslVkZoCtm956Ya6dglCGLIFV2BondlGGeLe-&opaqueCursor=AbobqJZnnWMs9hJztdgNNl56e5CYSRU1i7c0Gm8VIY3PC5NJdu9SubN-mKkcK8QPbZcuu5vZyQwE1xCG3xC4oqU6TeuGsT9GwBFOjj34bpI8R5jGTaEtH7VjDSx0bIl-Q3efNWrdcPrFOavhyH0ZhAUHxVLJhxfV1kBmHXkWNhioHWllWoIbL2R97bMn3hiOmKpAKfN7NuH3DERbBH_d7PAmOLM4FeLXku7WswHK7slIKXs02D0rjAxr-b1c3CSH7vyzjdRJdTD5F9Uthmz6adWO6NPxoLinIfSdk-sUJesgYPOSjtA-C8IB-6DoK1vYAp8yIgqdTT5DYahpxiOyYUdFGJody9sbtyIuGRw62dP0iOle903HeHyoCM6HLL_RXWP6CUhcwgn8FoLmUJvrOFPF9nKF83lLEKiOQh5FR0G-yqAbvzlV31TLX5As1ZVer8wA9iIdXN0p5LWkgeiqwlK9paPPTDErV2VUjgPSmmjTPHT6E8kIADMCnqQuxsqvVM4qyL9uor2XvmySXxyvMKyb
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,N,L,HF,Kishore Peraje,"Bantwal, KA",KA,Western Ghats,12.890325,75.027748,Google,,https://www.daijiworld.com/printArticles.aspx?sectionID=211968&sectionName=news
Fowlea piscator,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Fowlea,piscator,Y,M,HF,Ghanshyam Bhanware,"Kanha NP, MP",MP,Deccan Peninsula,22.334072,80.609067,Facebook,,https://www.facebook.com/groups/SnakesofIndia/?post_id=4702886253070730
Fowlea piscator,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Fowlea,piscator,Y,L,HF,Vinay Vinu,"Shimoga, KA",KA,Western Ghats,13.965528,75.560085,Facebook,,https://www.facebook.com/photo?fbid=306893400144687&set=bc.AbqLnsXqpPJHjNxqCqlOLSkeAxXNs9lbuCAuPqeONqd_6DUrJIwGD0aJByJbGjsguq6n3bIzuNL2XfuwF2IhpZMDbtOGLKZO40X1qmpM492HvpdWBJ2rSc87nf7UCB0Zc5HT9cHsbKIITanw-1DvL5Nj&opaqueCursor=Aboa85STGGEhC8QNI_EDGp3oqpfgdUUe2mECCK_9Am4pEqBgCJRFAqF1e1mx7Xv7Xj1KcTZuaYqY4y6p6eyTdl2nTl_beo9bMEYUeC940DqQm7vEZV_4Eglifv4Oo2bWPqAUtCsKEshKF6ljw9Rd8V0hcufJ-7JZB9bDHShubbGByFv-CxpkBwrMp29pkLVcWgmo2bTok047wccbTkRZRoTp2jh0g3uQWQsISOqRk6ncIFJsuB91zV5wasHBu7R4gUZhSTFwJuyvgpTJpbEBJO5sPnWK9gkDEh3W2CvILxPSo9Pj9I9PupGSmgcmJJ5N3t6RxanUhfLwnPZdeG7fxJizmQ7vyAQBfQjfqs3R-vTugTJGN8M-Yodv5EqlfQiNWLy3ICbXlGCtU66IxcHJ9Yo0rMQjqxRZC99DcugVD1XUPcO3I99LFoHzWgYs2E_7h_B3o_FHA0ya6jOKByqe-87jkoU2vEVsXyNWjKx6cVXAr-kKBEJwWro781tahZx1T8S96aSsI1Noy8hwfGfnqIWZ1JnFXpbZCcx4D0gbgZN8vslTC__KIiQ9VIXt4NTmmDI
